serial_nbr,batchID
S004B040465,B040465
S006B034007,B034007
S008B020430,B020430
S005B000505,B000505
S007B038056,B038056
S000B007792,B007792
S003B029141,B029141
S003B015253,B015253
S000B014150,B014150
S007B040781,B040781
S004B034082,B034082
S007B031266,B031266
S004B000784,B000784
S006B048794,B048794
S005B013920,B013920
S008B040781,B040781
S005B014208,B014208
S006B043945,B043945
S006B009217,B009217
S007B004708,B004708
S003B011149,B011149
S002B044873,B044873
S005B028162,B028162
S009B014297,B014297
S009B031284,B031284
S007B041342,B041342
S002B029161,B029161
S005B011916,B011916
S006B036018,B036018
S006B000086,B000086
S003B017538,B017538
S007B009147,B009147
S004B007583,B007583
S004B005708,B005708
S001B032595,B032595
S006B040521,B040521
S007B038901,B038901
S002B005183,B005183
S003B030894,B030894
S005B035888,B035888
S006B036971,B036971
S006B013182,B013182
S002B012054,B012054
S000B006843,B006843
S009B008375,B008375
S003B016053,B016053
S003B001053,B001053
S006B021269,B021269
S000B031031,B031031
S002B034256,B034256
S005B020188,B020188
S006B008194,B008194
S002B006377,B006377
S008B002247,B002247
S003B016607,B016607
S002B030475,B030475
S008B044734,B044734
S002B048009,B048009
S003B033186,B033186
S002B035995,B035995
S003B007138,B007138
S000B012497,B012497
S008B000886,B000886
S009B033753,B033753
S002B030120,B030120
S007B001460,B001460
S008B013182,B013182
S001B002208,B002208
S005B022954,B022954
S000B045996,B045996
S001B003970,B003970
S007B027354,B027354
S008B037311,B037311
S005B022847,B022847
S008B008560,B008560
S006B036619,B036619
S004B018695,B018695
S004B018299,B018299
S004B012289,B012289
S009B023706,B023706
S007B026917,B026917
S007B004932,B004932
S004B037900,B037900
S007B010701,B010701
S002B015292,B015292
S005B050039,B050039
S001B005020,B005020
S003B023236,B023236
S000B013493,B013493
S009B007100,B007100
S001B046600,B046600
S004B037311,B037311
S002B017836,B017836
S008B014553,B014553
S005B013211,B013211
S006B003143,B003143
S000B007079,B007079
S008B019541,B019541
S001B026067,B026067
S008B001710,B001710
S007B009842,B009842
S003B038309,B038309
S001B030406,B030406
S006B030311,B030311
S006B008220,B008220
S006B030715,B030715
S002B032389,B032389
S000B011986,B011986
S003B042831,B042831
S006B032865,B032865
S002B023666,B023666
S008B014770,B014770
S002B035378,B035378
S000B024128,B024128
S002B043109,B043109
S001B020188,B020188
S004B012120,B012120
S003B006502,B006502
S001B034602,B034602
S001B033673,B033673
S002B015271,B015271
S005B036879,B036879
S007B006604,B006604
S001B043786,B043786
S002B049947,B049947
S006B044079,B044079
S001B049887,B049887
S008B036826,B036826
S005B023838,B023838
S001B042429,B042429
S007B038792,B038792
S000B007835,B007835
S005B022204,B022204
S009B041917,B041917
S004B004306,B004306
S000B035822,B035822
S001B033374,B033374
S005B035233,B035233
S006B045848,B045848
S005B029705,B029705
S008B048116,B048116
S007B027192,B027192
