batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B020139,854,468,862,790,966,617,111,310,51,941,157,891,8,26,564,680,477,306,265,330,473,217,13,807,793,453,531,507,386,950
B007146,95,118,473,265,921,694,967,949,3,863,560,610,445,753,671,222,261,107,758,782,100,911,765,941,639,729,339,996,885,566
B020756,884,417,653,423,882,564,70,366,454,680,896,24,945,334,720,105,480,536,390,779,527,619,262,687,827,101,822,497,875,601
B049434,364,804,282,580,726,900,54,753,111,550,317,82,997,448,259,454,841,73,653,609,750,225,438,24,563,109,877,5,301,343
B035450,949,894,11,512,215,712,149,109,697,486,501,704,755,647,712,525,93,33,224,2,504,778,293,825,760,546,146,627,591,87
B002032,432,892,675,709,255,574,799,556,468,100,302,762,902,201,3,708,351,57,239,647,283,54,296,67,166,593,761,984,924,327
B024376,978,985,803,890,168,116,211,768,682,625,92,173,522,177,614,672,392,880,343,681,437,750,426,967,245,632,969,355,635,98
B010687,735,431,810,831,760,439,748,964,496,470,127,411,282,251,288,648,387,568,386,47,949,702,803,702,251,726,673,176,431,983
B049981,830,750,584,305,246,856,864,505,593,145,207,804,518,376,369,741,310,35,295,425,845,759,37,482,385,70,839,67,608,858
B002397,714,603,133,260,81,821,339,120,256,402,140,173,87,153,421,932,616,80,771,546,487,142,484,624,886,331,767,694,669,575
B023749,624,762,364,11,305,569,520,251,478,512,459,195,240,456,228,30,416,110,60,706,791,206,704,403,900,858,673,838,855,985
B016873,365,987,177,123,674,824,932,433,675,983,449,999,82,857,346,435,720,862,800,344,483,19,789,90,738,597,87,609,391,806
B047240,250,800,82,103,111,713,602,336,865,989,517,748,122,944,488,895,237,120,974,844,350,759,911,962,883,808,38,60,947,694
B013307,721,789,849,37,716,512,589,847,436,759,991,634,97,257,86,238,860,45,793,234,87,552,614,229,538,532,417,99,749,407
B048951,39,98,475,584,55,164,693,69,811,292,843,560,853,753,241,281,683,415,416,737,557,247,99,899,41,57,876,544,789,833
B019129,693,929,520,134,747,607,402,988,222,27,98,278,622,907,887,132,943,875,175,89,582,198,75,198,107,544,5,446,398,960
B034973,353,796,738,976,429,106,118,3,464,565,277,389,949,468,27,748,544,7,844,866,977,982,233,529,244,941,659,328,991,973
B035365,755,831,872,888,689,861,947,404,310,707,249,845,53,653,539,337,544,216,589,352,861,652,807,193,561,646,960,671,750,934
B031106,988,883,109,917,498,416,485,549,423,275,265,937,568,806,830,719,34,693,890,446,94,326,74,535,699,440,933,621,830,50
B007614,621,116,102,835,619,625,632,725,708,641,182,739,274,978,101,244,490,849,180,524,382,801,314,943,351,853,527,650,460,57
B047614,952,405,561,15,199,413,892,651,667,165,685,607,56,659,173,373,822,768,699,415,232,504,417,660,420,216,85,419,352,413
B045673,450,147,185,116,29,387,997,471,219,577,106,707,860,163,8,754,503,193,356,600,339,945,156,546,602,70,828,808,447,225
B035287,454,397,833,65,354,293,189,309,829,651,390,424,779,165,802,61,714,976,215,86,845,347,513,504,818,510,448,184,717,901
B031533,500,815,974,976,591,229,539,23,967,184,314,12,7,48,54,80,635,225,203,208,201,726,903,79,498,364,723,87,204,38
B020954,356,900,854,523,918,572,581,688,331,261,775,554,777,362,661,717,49,421,324,374,844,632,53,767,749,369,456,67,647,998
B026668,772,409,37,101,623,965,682,975,859,380,266,848,971,39,97,768,112,18,497,844,805,391,156,538,494,825,12,551,526,406
B011066,740,770,816,103,625,396,335,624,159,367,886,17,197,114,604,823,215,839,819,245,404,807,100,315,444,591,906,584,318,655
B041744,180,606,874,543,441,686,944,72,681,770,706,357,827,347,997,834,497,555,789,859,400,897,84,131,211,856,341,887,210,268
B027247,795,529,904,459,712,354,500,715,931,403,582,31,441,176,365,451,843,685,945,888,450,632,935,514,144,92,23,231,82,285
B013443,845,485,349,102,672,712,135,178,677,593,598,892,709,258,573,860,626,716,121,820,362,344,124,987,106,979,790,472,406,13
B019221,359,129,906,830,604,778,980,7,918,55,493,430,133,172,483,653,290,958,287,415,607,295,633,913,217,563,126,428,70,462
B024720,933,454,564,511,621,898,6,279,123,497,92,891,775,822,12,195,881,624,608,375,581,454,648,59,203,321,693,997,705,43
B004274,961,124,575,327,628,745,608,264,640,638,11,765,626,260,935,213,562,441,114,873,759,949,987,474,257,359,808,11,48,447
B037912,58,942,541,286,55,703,473,385,75,255,372,650,787,876,983,759,67,55,826,231,331,114,7,805,603,455,643,962,135,259
B022919,784,454,608,306,700,488,800,136,719,584,20,960,163,183,450,849,836,817,103,223,233,181,819,176,717,49,970,38,332,289
